  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 10:11:06	  -4.000	   0.000	 1006.20	   12.74	    -0.8	     0.3	     0.0	    -5.5	    -0.5	     0.0
       0	 10:11:41	  -3.000	   0.000	 1006.22	   12.72	     0.6	    -1.9	    -0.1	    -6.5	    -1.1	     1.5
       0	 10:12:02	  -2.000	   0.000	 1006.22	   12.70	     3.0	    -2.3	     1.0	    -7.1	    -2.1	     2.8
       0	 10:14:00	  -1.005	   0.000	 1006.25	   12.62	     2.0	    -4.7	     2.5	    -7.5	    -3.0	     3.0
       0	 10:14:38	   0.000	   0.000	 1006.26	   12.58	     1.7	    -6.2	     2.5	    -8.0	    -3.5	     3.0
       0	 10:14:54	   1.000	   0.000	 1006.26	   12.58	     2.9	    -7.1	     2.1	    -8.7	    -3.9	     3.7
       0	 10:15:10	   2.000	   0.000	 1006.26	   12.56	     3.2	    -5.9	     1.5	    -8.5	    -3.5	     4.0
       0	 10:15:27	   3.000	   0.000	 1006.26	   12.56	    -3.7	    -3.0	     2.0	    -8.9	    -2.9	     1.8
       0	 10:15:43	   4.000	   0.000	 1006.27	   12.55	    -6.8	    -4.4	     2.0	    -9.6	    -2.9	     1.4
       0	 10:16:02	   4.995	   0.000	 1006.27	   12.52	     0.1	    -8.2	     3.0	   -11.0	    -4.0	     3.3
       0	 10:16:16	   5.995	   0.000	 1006.27	   12.52	     9.8	   -10.8	     4.1	   -10.5	    -5.5	     5.8
       0	 10:16:36	   6.995	   0.000	 1006.28	   12.50	    11.3	   -12.2	     5.5	   -10.0	    -6.0	     7.0
       0	 10:16:55	   8.000	   0.000	 1006.29	   12.50	    10.4	   -15.8	     5.0	   -11.0	    -7.0	     8.3
       0	 10:17:14	   9.000	   0.000	 1006.30	   12.48	    11.7	   -16.8	     6.0	   -11.4	    -7.3	     9.2
       0	 10:17:29	  10.005	   0.000	 1006.29	   12.48	    13.1	   -16.3	     6.0	   -12.0	    -7.6	    10.3
       0	 10:17:42	  11.005	   0.000	 1006.28	   12.48	    15.0	   -18.7	     6.2	   -12.0	    -8.0	    11.1
       0	 10:17:58	  12.000	   0.000	 1006.27	   12.48	    17.8	   -20.7	     7.5	   -11.5	    -8.9	    12.4
       0	 10:18:13	  13.005	   0.000	 1006.27	   12.46	    19.5	   -22.8	     7.3	   -12.8	    -8.9	    13.7
       0	 10:18:31	  14.005	   0.000	 1006.28	   12.46	    19.6	   -22.7	     8.1	   -13.0	    -9.5	    14.4
       0	 10:19:15	  15.005	   0.000	 1006.31	   12.44	    20.2	   -24.5	     8.3	   -13.1	    -9.0	    15.0
       0	 10:19:35	  16.005	   0.000	 1006.29	   12.42	    21.1	   -24.1	     9.0	   -13.9	    -8.2	    15.5
       0	 10:19:51	  17.005	   0.000	 1006.30	   12.42	    21.7	   -24.6	     8.9	   -14.0	    -9.0	    15.0
       0	 10:20:07	  18.000	   0.000	 1006.32	   12.41	    23.4	   -26.1	    10.0	   -14.5	    -8.8	    15.4
       0	 10:20:27	  19.000	   0.000	 1006.33	   12.39	    22.2	   -25.1	     9.5	   -14.5	    -8.0	    14.8
       0	 10:20:48	  20.005	   0.000	 1006.31	   12.38	    23.4	   -25.2	     9.7	   -14.5	    -7.6	    14.1
