Alpha,T1-42.0 m/s-LLT, , Alpha,T1-42.0 m/s-Panel-Inviscid, , Alpha,T1-42.0 m/s-VLM1-Inviscid, , 
         -2.5,   0.008691629, ,            -3,   0.002813478, ,            -3,   0.002733321, , 
           -2,   0.007909003, ,          -2.5,   0.001955169, ,          -2.5,   0.001899466, , 
         -1.5,   0.007253464, ,            -2,   0.001252023, ,            -2,   0.001216353, , 
           -1,   0.006798403, ,          -1.5,  0.0007045761, ,          -1.5,  0.0006845027, , 
         -0.5,   0.006548824, ,            -1,  0.0003132444, ,            -1,    0.00030432, , 
            0,   0.006469299, ,          -0.5,    7.8326e-05, ,          -0.5,  7.609447e-05, , 
          0.5,   0.006543346, ,             0, -1.029636e-27, ,             0,             0, , 
            1,   0.006792556, ,           0.5,    7.8326e-05, ,           0.5,  7.609447e-05, , 
          1.5,    0.00723917, ,             1,  0.0003132444, ,             1,    0.00030432, , 
            2,   0.007889308, ,           1.5,  0.0007045761, ,           1.5,  0.0006845027, , 
          2.5,   0.008690164, ,             2,   0.001252023, ,             2,   0.001216353, , 
            3,   0.009608281, ,           2.5,   0.001955169, ,           2.5,   0.001899466, , 
          3.5,    0.01073019, ,             3,   0.002813478, ,             3,   0.002733321, , 
            4,    0.01201928, ,           3.5,   0.003826295, ,           3.5,   0.003717284, , 
          4.5,     0.0134499, ,             4,   0.004992851, ,             4,   0.004850604, , 
            5,     0.0150524, ,           4.5,   0.006312254, ,           4.5,   0.006132417, , 
          5.5,     0.0168324, ,             5,   0.007783501, ,             5,   0.007561748, , 
            6,    0.01872944, ,           5.5,    0.00940547, ,           5.5,   0.009137506, , 
          6.5,    0.02075627, ,             6,    0.01117692, ,             6,    0.01085849, , 
            7,    0.02287245, ,           6.5,    0.01309651, ,           6.5,    0.01272339, , 
          7.5,    0.02519928, ,             7,    0.01516277, ,             7,    0.01473077, , 
            8,    0.02788938, ,           7.5,    0.01737411, ,           7.5,    0.01687912, , 
          8.5,    0.03108663, ,             8,    0.01972887, ,             8,    0.01916679, , 
            9,    0.03493872, ,           8.5,    0.02222523, ,           8.5,    0.02159202, , 
          9.5,    0.03905187, ,             9,    0.02486129, ,             9,    0.02415298, , 
           10,    0.04317741, ,           9.5,    0.02763503, ,           9.5,     0.0268477, , 
         10.5,    0.04751199, ,            10,    0.03054434, ,            10,    0.02967412, , 
           11,    0.05188308, ,          10.5,    0.03358698, ,          10.5,    0.03263008, , 
         11.5,    0.05630435, ,            11,    0.03676064, ,            11,    0.03571332, , 
           12,    0.06045408, ,          11.5,    0.04006287, ,          11.5,    0.03892147, , 
         12.5,    0.06436194, ,            12,    0.04349116, ,            12,    0.04225209, , 
           13,    0.06833519, ,          12.5,    0.04704287, ,          12.5,    0.04570261, , 
         13.5,    0.07245847, ,            13,    0.05071527, ,            13,    0.04927038, , 
           14,    0.07690926, ,          13.5,    0.05450556, ,          13.5,    0.05295268, , 
         14.5,    0.08158531, ,            14,    0.05841081, ,            14,    0.05674667, , 
           15,    0.08632588, ,          14.5,    0.06242803, ,          14.5,    0.06064944, , 
         15.5,     0.1037785, ,            15,    0.06655413, ,            15,    0.06465799, , 
           16,     0.1300021, ,          15.5,    0.07078592, ,          15.5,    0.06876922, , 
         16.5,     0.1359056, ,            16,    0.07512017, ,            16,    0.07297998, , 
           17,     0.1415647, ,          16.5,    0.07955351, ,          16.5,    0.07728701, , 
         17.5,     0.1634617, ,            17,    0.08408253, ,            17,      0.081687, , 
           18,     0.1699878, ,          17.5,    0.08870373, ,          17.5,    0.08617654, , 
, , ,            18,    0.09341354, ,            18,    0.09075216, , 

