Alpha,T1-42.0 m/s-LLT, , Alpha,T1-42.0 m/s-Panel-Inviscid, , Alpha,T1-42.0 m/s-VLM1-Inviscid, , 
         -2.5,   0.006534694, ,            -3,             0, ,            -3,             0, , 
           -2,   0.006501841, ,          -2.5,             0, ,          -2.5,             0, , 
         -1.5,   0.006456633, ,            -2,             0, ,            -2,             0, , 
           -1,   0.006446904, ,          -1.5,             0, ,          -1.5,             0, , 
         -0.5,   0.006458676, ,            -1,             0, ,            -1,             0, , 
            0,   0.006469365, ,          -0.5,             0, ,          -0.5,             0, , 
          0.5,   0.006458317, ,             0,             0, ,             0,             0, , 
            1,   0.006446704, ,           0.5,             0, ,           0.5,             0, , 
          1.5,   0.006458106, ,             1,             0, ,             1,             0, , 
            2,   0.006503005, ,           1.5,             0, ,           1.5,             0, , 
          2.5,   0.006534684, ,             2,             0, ,             2,             0, , 
            3,   0.006525764, ,           2.5,             0, ,           2.5,             0, , 
          3.5,   0.006572403, ,             3,             0, ,             3,             0, , 
            4,   0.006622544, ,           3.5,             0, ,           3.5,             0, , 
          4.5,   0.006644438, ,             4,             0, ,             4,             0, , 
            5,   0.006721862, ,           4.5,             0, ,           4.5,             0, , 
          5.5,   0.006840079, ,             5,             0, ,             5,             0, , 
            6,     0.0071837, ,           5.5,             0, ,           5.5,             0, , 
          6.5,   0.007819719, ,             6,             0, ,             6,             0, , 
            7,   0.008501931, ,           6.5,             0, ,           6.5,             0, , 
          7.5,   0.009134922, ,             7,             0, ,             7,             0, , 
            8,   0.009728549, ,           7.5,             0, ,           7.5,             0, , 
          8.5,    0.01034969, ,             8,             0, ,             8,             0, , 
            9,     0.0109397, ,           8.5,             0, ,           8.5,             0, , 
          9.5,    0.01167918, ,             9,             0, ,             9,             0, , 
           10,    0.01255174, ,           9.5,             0, ,           9.5,             0, , 
         10.5,    0.01331257, ,            10,             0, ,            10,             0, , 
           11,    0.01411102, ,          10.5,             0, ,          10.5,             0, , 
         11.5,    0.01494232, ,            11,             0, ,            11,             0, , 
           12,    0.01582415, ,          11.5,             0, ,          11.5,             0, , 
         12.5,    0.01681943, ,            12,             0, ,            12,             0, , 
           13,    0.01789265, ,          12.5,             0, ,          12.5,             0, , 
         13.5,    0.01921976, ,            13,             0, ,            13,             0, , 
           14,    0.02133688, ,          13.5,             0, ,          13.5,             0, , 
         14.5,    0.02411926, ,            14,             0, ,            14,             0, , 
           15,    0.02715168, ,          14.5,             0, ,          14.5,             0, , 
         15.5,    0.04228175, ,            15,             0, ,            15,             0, , 
           16,    0.06910035, ,          15.5,             0, ,          15.5,             0, , 
         16.5,    0.07292525, ,            16,             0, ,            16,             0, , 
           17,    0.07669095, ,          16.5,             0, ,          16.5,             0, , 
         17.5,     0.1025511, ,            17,             0, ,            17,             0, , 
           18,     0.1065277, ,          17.5,             0, ,          17.5,             0, , 
, , ,            18,             0, ,            18,             0, , 




