Alpha,T1-42.0 m/s-LLT-Re-6.9e+5, , Alpha,T1-42.0 m/s-Panel-Inviscid, , Alpha,T1-42.0 m/s-VLM1-Inviscid, , 
           -3,     -22.20873, ,            -3,     -78.01569, ,            -3,     -79.19041, , 
         -2.5,     -20.40936, ,          -2.5,     -93.58572, ,          -2.5,     -95.01379, , 
           -2,     -17.92998, ,            -2,     -116.9483, ,            -2,     -118.7522, , 
         -1.5,     -14.44015, ,          -1.5,      -155.896, ,          -1.5,     -158.3207, , 
           -1,     -10.15743, ,            -1,     -233.8065, ,            -1,     -237.4645, , 
         -0.5,     -5.220628, ,          -0.5,      -467.568, ,          -0.5,     -474.9089, , 
            0,    0.08747905, ,             0, -1.757191e+12, ,             0,           nan, , 
          0.5,       5.39589, ,           0.5,       467.568, ,           0.5,      474.9089, , 
            1,      10.33783, ,             1,      233.8065, ,             1,      237.4645, , 
          1.5,      14.62902, ,           1.5,       155.896, ,           1.5,      158.3207, , 
            2,        18.112, ,             2,      116.9483, ,             2,      118.7522, , 
          2.5,      20.59255, ,           2.5,      93.58572, ,           2.5,      95.01379, , 
            3,      22.21606, ,             3,      78.01569, ,             3,      79.19041, , 
          3.5,      23.25778, ,           3.5,      66.89857, ,           3.5,      67.88992, , 
            4,      23.80322, ,             4,      58.56452, ,             4,      59.41625, , 
          4.5,      23.91708, ,           4.5,      52.08588, ,           4.5,      52.82714, , 
            5,      23.74477, ,             5,      46.90603, ,             5,      47.55721, , 
          5.5,      23.36131, ,           5.5,      42.67076, ,           5.5,      43.24672, , 
            6,      22.74136, ,             6,      39.14396, ,             6,      39.65579, , 
          6.5,      21.67323, ,           6.5,      36.16213, ,           6.5,       36.6184, , 
            7,      20.65484, ,             7,      33.60851, ,             7,      34.01594, , 
          7.5,      19.75073, ,           7.5,      31.39747, ,           7.5,      31.76142, , 
            8,      18.90957, ,             8,       29.4648, ,             8,      29.78962, , 
          8.5,      18.13147, ,           8.5,      27.76138, ,           8.5,      28.05065, , 
            9,      17.40879, ,             9,      26.24902, ,             9,      26.50573, , 
          9.5,      16.68997, ,           9.5,      24.89757, ,           9.5,      25.12422, , 
           10,      15.98064, ,            10,      23.68291, ,            10,      23.88161, , 
         10.5,      15.25994, ,          10.5,       22.5855, ,          10.5,      22.75809, , 
           11,      14.65162, ,            11,      21.58937, ,            11,      21.73741, , 
         11.5,       14.1382, ,          11.5,      20.68134, ,          11.5,      20.80617, , 
           12,      13.66964, ,            12,       19.8504, ,            12,       19.9532, , 
         12.5,       13.2339, ,          12.5,      19.08731, ,          12.5,      19.16913, , 
           13,      12.82132, ,            13,      18.38427, ,            13,        18.446, , 
         13.5,      12.43712, ,          13.5,      17.73461, ,          13.5,      17.77707, , 
           14,      12.02344, ,            14,      17.13264, ,            14,      17.15653, , 
         14.5,      11.49001, ,          14.5,      16.57343, ,          14.5,      16.57939, , 
           15,      9.334616, ,            15,      16.05273, ,            15,      16.04132, , 
         15.5,      8.886192, ,          15.5,      15.56682, ,          15.5,      15.53855, , 
           16,      6.742096, ,            16,      15.11247, ,            16,      15.06778, , 
         16.5,      6.488329, ,          16.5,      14.68681, ,          16.5,      14.62611, , 
           17,        5.2466, ,            17,      14.28733, ,            17,      14.21099, , 
         17.5,      5.121342, ,          17.5,      13.91182, ,          17.5,      13.82015, , 
           18,      5.014402, ,            18,      13.55828, ,            18,      13.45158, , 
