Alpha,T1-42.0 m/s-LLT, , Alpha,T1-42.0 m/s-Panel-Inviscid, , Alpha,T1-42.0 m/s-VLM1-Inviscid, , 
         -2.5,   -0.03678833, ,            -3,    -0.0471531, ,            -3,   -0.04203407, , 
           -2,   -0.02918711, ,          -2.5,   -0.03932748, ,          -2.5,   -0.03504798, , 
         -1.5,   -0.02182216, ,            -2,   -0.03148538, ,            -2,    -0.0280512, , 
           -1,   -0.01461513, ,          -1.5,   -0.02362918, ,          -1.5,   -0.02104588, , 
         -0.5,  -0.007183488, ,            -1,   -0.01576129, ,            -1,   -0.01403415, , 
            0,  0.0001178797, ,          -0.5,  -0.007884096, ,          -0.5,  -0.007018144, , 
          0.5,   0.007414397, ,             0, -2.384947e-16, ,             0,             0, , 
            1,     0.0147258, ,           0.5,   0.007888597, ,           0.5,   0.007018144, , 
          1.5,    0.02205997, ,             1,    0.01577929, ,             1,    0.01403415, , 
            2,    0.02942202, ,           1.5,    0.02366968, ,           1.5,    0.02104588, , 
          2.5,    0.03680288, ,             2,    0.03155737, ,             2,     0.0280512, , 
            3,    0.04427631, ,           2.5,    0.03943994, ,           2.5,    0.03504798, , 
          3.5,    0.05180318, ,             3,    0.04731499, ,             3,    0.04203407, , 
            4,    0.05930667, ,           3.5,    0.05518014, ,           3.5,    0.04900737, , 
          4.5,    0.06677305, ,             4,    0.06303298, ,             4,    0.05596574, , 
            5,    0.07433783, ,           4.5,    0.07087112, ,           4.5,    0.06290706, , 
          5.5,    0.08189305, ,             5,    0.07869218, ,             5,    0.06982922, , 
            6,    0.08982438, ,           5.5,    0.08649376, ,           5.5,     0.0767301, , 
          6.5,    0.09800722, ,             6,     0.0942735, ,             6,    0.08360762, , 
            7,      0.106145, ,           6.5,      0.102029, ,           6.5,    0.09045967, , 
          7.5,     0.1139291, ,             7,      0.109758, ,             7,    0.09728415, , 
            8,     0.1211813, ,           7.5,      0.117458, ,           7.5,      0.104079, , 
          8.5,     0.1278457, ,             8,     0.1251267, ,             8,     0.1108422, , 
            9,     0.1337753, ,           8.5,     0.1327618, ,           8.5,     0.1175716, , 
          9.5,     0.1397651, ,             9,      0.140361, ,             9,     0.1242651, , 
           10,     0.1460711, ,           9.5,     0.1479219, ,           9.5,     0.1309209, , 
         10.5,     0.1522051, ,            10,     0.1554423, ,            10,     0.1375367, , 
           11,     0.1583383, ,          10.5,     0.1629198, ,          10.5,     0.1441107, , 
         11.5,     0.1645015, ,            11,     0.1703522, ,            11,     0.1506407, , 
           12,     0.1708825, ,          11.5,     0.1777373, ,          11.5,     0.1571249, , 
         12.5,     0.1774457, ,            12,     0.1850726, ,            12,     0.1635612, , 
           13,     0.1838094, ,          12.5,     0.1923561, ,          12.5,     0.1699477, , 
         13.5,     0.1897414, ,            13,     0.1995855, ,            13,     0.1762824, , 
           14,     0.1949931, ,          13.5,     0.2067586, ,          13.5,     0.1825634, , 
         14.5,     0.1997371, ,            14,     0.2138733, ,            14,     0.1887888, , 
           15,     0.2038736, ,          14.5,     0.2209272, ,          14.5,     0.1949567, , 
         15.5,      0.192365, ,            15,     0.2279184, ,            15,     0.2010652, , 
           16,     0.1659399, ,          15.5,     0.2348447, ,          15.5,     0.2071125, , 
         16.5,     0.1693281, ,            16,     0.2417039, ,            16,     0.2130967, , 
           17,     0.1722264, ,          16.5,      0.248494, ,          16.5,     0.2190159, , 
         17.5,     0.1489964, ,            17,     0.2552129, ,            17,     0.2248685, , 
           18,      0.151861, ,          17.5,     0.2618586, ,          17.5,     0.2306525, , 
, , ,            18,      0.268429, ,            18,     0.2363663, , 


