,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      1.163278, , 
    -608.6762,     0.9213181, , 
    -570.2442,     0.7215668, , 
    -517.7709,     0.5748849, , 
    -452.5483,     0.4701282, , 
    -376.1826,     0.3965679, , 
    -290.5539,     0.3467291, , 
    -197.7709,     0.3147511, , 
    -100.1181,      0.296919, , 
-1.033947e-12,     0.2911891, , 
     100.1181,      0.296919, , 
     197.7709,     0.3147511, , 
     290.5539,     0.3467291, , 
     376.1826,     0.3965679, , 
     452.5483,     0.4701282, , 
     517.7709,     0.5748849, , 
     570.2442,     0.7215667, , 
     608.6762,     0.9213181, , 
     632.1205,      1.163278, , 

