,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      1.551017, , 
    -608.6762,       1.22875, , 
    -570.2442,     0.9619736, , 
    -517.7709,     0.7643415, , 
    -452.5483,     0.6237196, , 
    -376.1826,     0.5257673, , 
    -290.5539,     0.4588255, , 
    -197.7709,     0.4156779, , 
    -100.1181,     0.3916505, , 
-1.033947e-12,     0.3839354, , 
     100.1181,     0.3916504, , 
     197.7709,     0.4156778, , 
     290.5539,     0.4588254, , 
     376.1826,     0.5257672, , 
     452.5483,     0.6237195, , 
     517.7709,     0.7643414, , 
     570.2442,     0.9619735, , 
     608.6762,       1.22875, , 
     632.1205,      1.551017, , 

