,Q=42.00 - Alpha=-2.50, , 
    -632.1205,       -2.3293, , 
    -608.6762,     -1.840932, , 
    -570.2442,     -1.435287, , 
    -517.7709,     -1.133689, , 
    -452.5483,    -0.9180869, , 
    -376.1826,    -0.7667282, , 
    -290.5539,    -0.6645733, , 
    -197.7709,    -0.5993006, , 
    -100.1181,    -0.5630414, , 
-1.033947e-12,    -0.5514155, , 
     100.1181,    -0.5630414, , 
     197.7709,    -0.5993006, , 
     290.5539,    -0.6645733, , 
     376.1826,    -0.7667282, , 
     452.5483,    -0.9180869, , 
     517.7709,     -1.133689, , 
     570.2442,     -1.435287, , 
     608.6762,     -1.840932, , 
     632.1205,       -2.3293, , 

