,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -4.287494, , 
    -608.6762,     -3.377104, , 
    -570.2442,     -2.611127, , 
    -517.7709,     -2.068088, , 
    -452.5483,     -1.665259, , 
    -376.1826,     -1.383908, , 
    -290.5539,     -1.194448, , 
    -197.7709,     -1.074346, , 
    -100.1181,     -1.008115, , 
-1.033947e-12,    -0.9808576, , 
     100.1181,     -1.008115, , 
     197.7709,     -1.074346, , 
     290.5539,     -1.194448, , 
     376.1826,     -1.383908, , 
     452.5483,     -1.665259, , 
     517.7709,     -2.068088, , 
     570.2442,     -2.611127, , 
     608.6762,     -3.377104, , 
     632.1205,     -4.287494, , 

