,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6709486, , 
    -608.6762,     0.6774756, , 
    -570.2442,     0.6831785, , 
    -517.7709,     0.6881837, , 
    -452.5483,     0.6944616, , 
    -376.1826,     0.6988362, , 
    -290.5539,     0.7018017, , 
    -197.7709,     0.7037024, , 
    -100.1181,     0.7046978, , 
-1.033947e-12,     0.7050147, , 
     100.1181,     0.7046979, , 
     197.7709,     0.7037026, , 
     290.5539,     0.7018019, , 
     376.1826,     0.6988364, , 
     452.5483,     0.6944618, , 
     517.7709,     0.6881839, , 
     570.2442,     0.6831785, , 
     608.6762,     0.6774756, , 
     632.1205,     0.6709486, , 

