,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6679524, , 
    -608.6762,     0.6724246, , 
    -570.2442,     0.6789037, , 
    -517.7709,     0.6820801, , 
    -452.5483,     0.6843402, , 
    -376.1826,     0.6859145, , 
    -290.5539,     0.6877662, , 
    -197.7709,     0.6892727, , 
    -100.1181,     0.6901116, , 
-1.033947e-12,      0.690381, , 
     100.1181,     0.6901116, , 
     197.7709,     0.6892727, , 
     290.5539,     0.6877662, , 
     376.1826,     0.6859145, , 
     452.5483,     0.6843402, , 
     517.7709,     0.6820801, , 
     570.2442,     0.6789037, , 
     608.6762,     0.6724246, , 
     632.1205,     0.6679524, , 

