,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6512979, , 
    -608.6762,     0.6464394, , 
    -570.2442,     0.6448651, , 
    -517.7709,     0.6437376, , 
    -452.5483,     0.6429268, , 
    -376.1826,     0.6423569, , 
    -290.5539,     0.6419688, , 
    -197.7709,     0.6417199, , 
    -100.1181,     0.6415814, , 
-1.033947e-12,      0.641537, , 
     100.1181,     0.6415814, , 
     197.7709,     0.6417199, , 
     290.5539,     0.6419688, , 
     376.1826,     0.6423569, , 
     452.5483,     0.6429268, , 
     517.7709,     0.6437376, , 
     570.2442,     0.6448651, , 
     608.6762,     0.6464394, , 
     632.1205,     0.6512979, , 

