,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6485183, , 
    -608.6762,     0.6421032, , 
    -570.2442,     0.6391883, , 
    -517.7709,     0.6375787, , 
    -452.5483,     0.6364246, , 
    -376.1826,     0.6356154, , 
    -290.5539,      0.635065, , 
    -197.7709,     0.6347117, , 
    -100.1181,     0.6345149, , 
-1.033947e-12,     0.6344517, , 
     100.1181,     0.6345149, , 
     197.7709,     0.6347117, , 
     290.5539,      0.635065, , 
     376.1826,     0.6356154, , 
     452.5483,     0.6364246, , 
     517.7709,     0.6375787, , 
     570.2442,     0.6391883, , 
     608.6762,     0.6421032, , 
     632.1205,     0.6485183, , 

